,threshold,silhouette
0,0.0,-1.0
1,0.005,0.11835506519558676
2,0.01,0.11835506519558676
3,0.015,0.11841092584849942
4,0.02,0.15899993885895494
5,0.025,0.16191257740332837
6,0.03,0.1845852972210486
7,0.035,0.2561934665106659
8,0.04,0.3057409957115557
9,0.045,0.32239810506199235
10,0.05,0.33943975336084303
11,0.055,0.3505811498798973
12,0.06,0.35714121671817556
13,0.065,0.3558243819039381
14,0.07,0.35624710453511743
15,0.075,0.35523725196253647
16,0.08,0.360819420703576
17,0.085,0.3615210728234547
18,0.09,0.3546927677543398
19,0.095,0.35626822097221683
20,0.1,0.35145300983949307
21,0.105,0.3536305933612699
22,0.11,0.349867563714203
23,0.115,-1.0
24,0.12,-1.0
25,0.125,-1.0
26,0.13,-1.0
27,0.135,-1.0
28,0.14,-1.0
29,0.145,-1.0
30,0.15,-1.0
31,0.155,-1.0
32,0.16,-1.0
33,0.165,-1.0
34,0.17,-1.0
35,0.17500000000000002,-1.0
36,0.18,-1.0
37,0.185,-1.0
38,0.19,-1.0
39,0.195,-1.0
40,0.2,-1.0
41,0.20500000000000002,-1.0
42,0.21,-1.0
43,0.215,-1.0
44,0.22,-1.0
45,0.225,-1.0
46,0.23,-1.0
47,0.23500000000000001,-1.0
48,0.24,-1.0
49,0.245,-1.0
50,0.25,-1.0
51,0.255,-1.0
52,0.26,-1.0
53,0.265,-1.0
54,0.27,-1.0
55,0.275,-1.0
56,0.28,-1.0
57,0.28500000000000003,-1.0
58,0.29,-1.0
59,0.295,-1.0
60,0.3,-1.0
61,0.305,-1.0
62,0.31,-1.0
63,0.315,-1.0
64,0.32,-1.0
65,0.325,-1.0
66,0.33,-1.0
67,0.335,-1.0
68,0.34,-1.0
69,0.34500000000000003,-1.0
70,0.35000000000000003,-1.0
71,0.355,-1.0
72,0.36,-1.0
73,0.365,-1.0
74,0.37,-1.0
75,0.375,-1.0
76,0.38,-1.0
77,0.385,-1.0
78,0.39,-1.0
79,0.395,-1.0
80,0.4,-1.0
81,0.405,-1.0
82,0.41000000000000003,-1.0
83,0.41500000000000004,-1.0
84,0.42,-1.0
85,0.425,-1.0
86,0.43,-1.0
87,0.435,-1.0
88,0.44,-1.0
89,0.445,-1.0
90,0.45,-1.0
91,0.455,-1.0
92,0.46,-1.0
93,0.465,-1.0
94,0.47000000000000003,-1.0
95,0.47500000000000003,-1.0
96,0.48,-1.0
97,0.485,-1.0
98,0.49,-1.0
99,0.495,-1.0
100,0.5,-1.0
101,0.505,-1.0
102,0.51,-1.0
103,0.515,-1.0
104,0.52,-1.0
105,0.525,-1.0
106,0.53,-1.0
107,0.535,-1.0
108,0.54,-1.0
109,0.545,-1.0
110,0.55,-1.0
111,0.555,-1.0
112,0.56,-1.0
113,0.5650000000000001,-1.0
114,0.5700000000000001,-1.0
115,0.5750000000000001,-1.0
116,0.58,-1.0
117,0.585,-1.0
118,0.59,-1.0
119,0.595,-1.0
120,0.6,-1.0
121,0.605,-1.0
122,0.61,-1.0
123,0.615,-1.0
124,0.62,-1.0
125,0.625,-1.0
126,0.63,-1.0
127,0.635,-1.0
128,0.64,-1.0
129,0.645,-1.0
130,0.65,-1.0
131,0.655,-1.0
132,0.66,-1.0
133,0.665,-1.0
134,0.67,-1.0
135,0.675,-1.0
136,0.68,-1.0
137,0.685,-1.0
138,0.6900000000000001,-1.0
139,0.6950000000000001,-1.0
140,0.7000000000000001,-1.0
141,0.705,-1.0
142,0.71,-1.0
143,0.715,-1.0
144,0.72,-1.0
145,0.725,-1.0
146,0.73,-1.0
147,0.735,-1.0
148,0.74,-1.0
149,0.745,-1.0
150,0.75,-1.0
151,0.755,-1.0
152,0.76,-1.0
153,0.765,-1.0
154,0.77,-1.0
155,0.775,-1.0
156,0.78,-1.0
157,0.785,-1.0
158,0.79,-1.0
159,0.795,-1.0
160,0.8,-1.0
161,0.805,-1.0
162,0.81,-1.0
163,0.8150000000000001,-1.0
164,0.8200000000000001,-1.0
165,0.8250000000000001,-1.0
166,0.8300000000000001,-1.0
167,0.835,-1.0
168,0.84,-1.0
169,0.845,-1.0
170,0.85,-1.0
171,0.855,-1.0
172,0.86,-1.0
173,0.865,-1.0
174,0.87,-1.0
175,0.875,-1.0
176,0.88,-1.0
177,0.885,-1.0
178,0.89,-1.0
179,0.895,-1.0
180,0.9,-1.0
181,0.905,-1.0
182,0.91,-1.0
183,0.915,-1.0
184,0.92,-1.0
185,0.925,-1.0
186,0.93,-1.0
187,0.935,-1.0
188,0.9400000000000001,-1.0
189,0.9450000000000001,-1.0
190,0.9500000000000001,-1.0
191,0.9550000000000001,-1.0
192,0.96,-1.0
193,0.965,-1.0
194,0.97,-1.0
195,0.975,-1.0
196,0.98,-1.0
197,0.985,-1.0
198,0.99,-1.0
199,0.995,-1.0
200,1.0,-1.0
